Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,5,125,3,Some Random Commen with Id 0
1,1,5,50,3,Some Random Commen with Id 1
2,1,5,83,9,Some Random Commen with Id 2
3,1,5,57,1,Some Random Commen with Id 3
4,1,5,49,5,Some Random Commen with Id 4
5,1,5,57,3,Some Random Commen with Id 5
6,1,5,140,9,Some Random Commen with Id 6
7,1,5,189,6,Some Random Commen with Id 7
8,2,2,39,3,Some Random Commen with Id 8
9,3,4,152,2,Some Random Commen with Id 9
10,3,4,167,2,Some Random Commen with Id 10
11,3,4,1,5,Some Random Commen with Id 11
12,4,1,56,7,Some Random Commen with Id 12
13,4,1,16,8,Some Random Commen with Id 13
14,4,1,167,8,Some Random Commen with Id 14
15,5,1,23,4,Some Random Commen with Id 15
16,5,1,37,3,Some Random Commen with Id 16
17,5,1,186,1,Some Random Commen with Id 17
18,5,1,63,3,Some Random Commen with Id 18
19,5,1,69,1,Some Random Commen with Id 19
20,5,1,15,3,Some Random Commen with Id 20
21,5,1,180,8,Some Random Commen with Id 21
22,5,1,184,1,Some Random Commen with Id 22
23,5,1,63,8,Some Random Commen with Id 23
24,6,4,114,4,Some Random Commen with Id 24
25,7,0,187,9,Some Random Commen with Id 25
26,7,0,140,9,Some Random Commen with Id 26
27,8,8,116,6,Some Random Commen with Id 27
28,8,8,129,1,Some Random Commen with Id 28
29,8,8,35,6,Some Random Commen with Id 29
30,8,8,155,4,Some Random Commen with Id 30
31,8,8,11,1,Some Random Commen with Id 31
32,8,8,19,7,Some Random Commen with Id 32
33,9,7,82,3,Some Random Commen with Id 33
34,9,7,35,5,Some Random Commen with Id 34
35,9,7,85,2,Some Random Commen with Id 35
36,9,7,76,1,Some Random Commen with Id 36
37,9,7,198,5,Some Random Commen with Id 37
38,9,7,46,0,Some Random Commen with Id 38
39,9,7,53,4,Some Random Commen with Id 39
40,10,5,134,3,Some Random Commen with Id 40
41,10,5,73,0,Some Random Commen with Id 41
42,10,5,43,8,Some Random Commen with Id 42
43,11,8,186,7,Some Random Commen with Id 43
44,11,8,142,6,Some Random Commen with Id 44
45,11,8,2,1,Some Random Commen with Id 45
46,11,8,105,1,Some Random Commen with Id 46
47,11,8,39,6,Some Random Commen with Id 47
48,14,3,32,0,Some Random Commen with Id 48
49,14,3,25,5,Some Random Commen with Id 49
50,14,3,10,6,Some Random Commen with Id 50
51,14,3,38,6,Some Random Commen with Id 51
52,15,4,0,4,Some Random Commen with Id 52
53,15,4,98,7,Some Random Commen with Id 53
54,15,4,91,4,Some Random Commen with Id 54
55,16,9,130,0,Some Random Commen with Id 55
56,17,0,32,2,Some Random Commen with Id 56
57,17,0,53,5,Some Random Commen with Id 57
58,17,0,177,3,Some Random Commen with Id 58
59,18,3,31,7,Some Random Commen with Id 59
60,19,6,56,2,Some Random Commen with Id 60
61,19,6,38,1,Some Random Commen with Id 61
62,19,6,84,1,Some Random Commen with Id 62
63,19,6,155,3,Some Random Commen with Id 63
64,19,6,156,9,Some Random Commen with Id 64
65,19,6,121,6,Some Random Commen with Id 65
66,20,8,118,2,Some Random Commen with Id 66
67,20,8,37,8,Some Random Commen with Id 67
68,20,8,28,0,Some Random Commen with Id 68
69,20,8,101,8,Some Random Commen with Id 69
70,20,8,65,2,Some Random Commen with Id 70
71,20,8,125,4,Some Random Commen with Id 71
72,22,9,170,1,Some Random Commen with Id 72
73,22,9,39,8,Some Random Commen with Id 73
74,23,8,74,0,Some Random Commen with Id 74
75,24,5,41,7,Some Random Commen with Id 75
76,25,2,90,0,Some Random Commen with Id 76
77,25,2,35,2,Some Random Commen with Id 77
78,25,2,74,3,Some Random Commen with Id 78
79,25,2,118,7,Some Random Commen with Id 79
80,25,2,85,5,Some Random Commen with Id 80
81,25,2,71,2,Some Random Commen with Id 81
82,26,8,146,9,Some Random Commen with Id 82
83,26,8,168,5,Some Random Commen with Id 83
84,26,8,65,5,Some Random Commen with Id 84
85,26,8,82,5,Some Random Commen with Id 85
86,26,8,101,4,Some Random Commen with Id 86
87,26,8,173,8,Some Random Commen with Id 87
88,26,8,159,7,Some Random Commen with Id 88
89,26,8,11,4,Some Random Commen with Id 89
90,27,9,11,6,Some Random Commen with Id 90
91,27,9,52,4,Some Random Commen with Id 91
92,27,9,180,2,Some Random Commen with Id 92
93,28,6,100,4,Some Random Commen with Id 93
94,28,6,42,2,Some Random Commen with Id 94
95,28,6,178,6,Some Random Commen with Id 95
96,28,6,163,6,Some Random Commen with Id 96
97,29,9,46,5,Some Random Commen with Id 97
98,29,9,85,6,Some Random Commen with Id 98
99,29,9,71,8,Some Random Commen with Id 99
100,29,9,192,9,Some Random Commen with Id 100
101,29,9,95,9,Some Random Commen with Id 101
102,29,9,157,7,Some Random Commen with Id 102
103,29,9,191,5,Some Random Commen with Id 103
104,29,9,166,4,Some Random Commen with Id 104
105,30,5,41,2,Some Random Commen with Id 105
106,30,5,68,0,Some Random Commen with Id 106
107,30,5,141,1,Some Random Commen with Id 107
108,30,5,151,8,Some Random Commen with Id 108
109,31,4,82,9,Some Random Commen with Id 109
110,31,4,31,5,Some Random Commen with Id 110
111,31,4,175,5,Some Random Commen with Id 111
112,31,4,21,4,Some Random Commen with Id 112
113,32,3,96,8,Some Random Commen with Id 113
114,34,9,23,1,Some Random Commen with Id 114
115,34,9,23,9,Some Random Commen with Id 115
116,34,9,30,4,Some Random Commen with Id 116
117,34,9,36,3,Some Random Commen with Id 117
118,34,9,86,6,Some Random Commen with Id 118
119,34,9,117,7,Some Random Commen with Id 119
120,34,9,35,4,Some Random Commen with Id 120
121,34,9,34,7,Some Random Commen with Id 121
122,36,7,190,5,Some Random Commen with Id 122
123,36,7,124,0,Some Random Commen with Id 123
124,36,7,54,4,Some Random Commen with Id 124
125,36,7,96,8,Some Random Commen with Id 125
126,36,7,151,2,Some Random Commen with Id 126
127,36,7,134,8,Some Random Commen with Id 127
128,36,7,147,7,Some Random Commen with Id 128
129,37,5,54,4,Some Random Commen with Id 129
130,37,5,169,4,Some Random Commen with Id 130
131,37,5,142,5,Some Random Commen with Id 131
132,38,1,31,6,Some Random Commen with Id 132
133,38,1,141,1,Some Random Commen with Id 133
134,38,1,4,1,Some Random Commen with Id 134
135,38,1,100,6,Some Random Commen with Id 135
136,38,1,64,0,Some Random Commen with Id 136
137,39,5,26,1,Some Random Commen with Id 137
138,39,5,69,7,Some Random Commen with Id 138
139,39,5,190,5,Some Random Commen with Id 139
140,39,5,180,2,Some Random Commen with Id 140
141,39,5,63,1,Some Random Commen with Id 141
142,39,5,129,2,Some Random Commen with Id 142
143,39,5,171,2,Some Random Commen with Id 143
144,39,5,164,9,Some Random Commen with Id 144
145,39,5,96,5,Some Random Commen with Id 145
